symbol,take_profit,stop_loss,max_hold_bars,volume_ratio,rsi_max,total_trades,win_rate,total_return,mdd,pf,avg_hold_bars
KRW-AAVE,0.005,0.015,20,1.2,70,2018,56.1,-188.96,-87.04,0.787,12.2
KRW-AAVE,0.005,0.01,10,2.0,65,756,47.9,-58.73,-47.11,0.787,7.7
KRW-AAVE,0.01,0.01,10,2.0,65,750,37.6,-66.01,-52.05,0.786,9.9
KRW-AAVE,0.005,0.01,30,1.5,65,997,56.9,-96.36,-65.37,0.786,12.8
KRW-AAVE,0.015,0.015,50,1.5,65,887,40.9,-137.69,-78.51,0.786,33.7
KRW-AAVE,0.01,0.015,10,2.0,65,749,38.3,-67.15,-52.81,0.786,10.4
KRW-AAVE,0.02,0.01,50,1.5,70,1424,31.9,-220.58,-91.71,0.786,31.1
KRW-AAVE,0.005,0.015,20,1.5,70,1743,56.1,-164.45,-83.16,0.785,12.2
KRW-AAVE,0.02,0.015,20,1.5,65,947,31.8,-113.84,-71.75,0.784,22.4
KRW-AAVE,0.02,0.01,50,1.2,70,1611,32.0,-252.7,-94.08,0.784,31.1
KRW-AAVE,0.01,0.01,50,1.5,65,946,44.3,-125.49,-73.92,0.783,22.0
KRW-AAVE,0.005,0.015,20,1.5,65,1004,54.9,-94.86,-64.49,0.782,12.6
KRW-AAVE,0.01,0.01,50,1.5,70,1561,45.0,-212.7,-89.84,0.782,21.0
KRW-AAVE,0.015,0.015,20,2.0,70,1247,35.7,-151.34,-80.58,0.781,19.3
KRW-AAVE,0.01,0.008,20,2.0,65,729,39.2,-78.32,-57.25,0.781,13.1
KRW-AAVE,0.01,0.005,50,2.0,65,732,34.8,-78.74,-57.29,0.781,12.9
KRW-AAVE,0.01,0.015,20,1.5,65,978,41.0,-110.39,-69.94,0.78,16.7
KRW-AAVE,0.01,0.01,30,1.5,65,971,42.3,-117.49,-71.86,0.78,18.0
KRW-AAVE,0.005,0.008,20,2.0,65,744,52.2,-69.04,-52.21,0.778,9.5
KRW-AAVE,0.015,0.01,20,2.0,65,719,34.6,-83.39,-59.14,0.778,17.4
KRW-AAVE,0.015,0.01,20,2.0,70,1257,34.1,-149.72,-80.21,0.778,17.3
KRW-AAVE,0.005,0.01,50,1.2,70,1968,59.7,-210.9,-89.46,0.777,13.6
KRW-AAVE,0.015,0.01,50,1.5,70,1492,37.0,-230.23,-92.09,0.777,26.1
KRW-AAVE,0.015,0.008,50,2.0,65,699,33.5,-99.01,-67.1,0.776,23.6
KRW-AAVE,0.01,0.015,20,1.2,70,1912,40.9,-226.19,-91.1,0.776,16.5
KRW-AAVE,0.015,0.008,50,2.0,70,1197,33.8,-173.93,-85.18,0.776,22.5
KRW-AAVE,0.01,0.01,30,1.2,70,1869,42.4,-237.73,-92.05,0.776,17.6
KRW-AAVE,0.005,0.01,30,1.5,70,1733,57.5,-179.3,-85.15,0.775,12.1
KRW-AAVE,0.015,0.015,10,2.0,65,744,33.7,-73.02,-55.69,0.774,12.0
KRW-AAVE,0.005,0.01,30,1.2,70,2000,57.4,-208.6,-89.01,0.774,12.2
KRW-AAVE,0.01,0.01,20,2.0,70,1281,40.0,-149.68,-79.23,0.773,14.5
